name	freq
DNA:Crypton:Eulor6A	1
DNA:Crypton:Eulor6B	1
DNA:Crypton:MER134	1
DNA:DNA:Eulor1	75
DNA:DNA:Eulor11	100
DNA:DNA:Eulor9A	119
DNA:DNA:Eulor9B	25
DNA:DNA:Eulor9C	101
DNA:DNA:Eutr11	13
DNA:DNA:MARE8	3
DNA:DNA:MER105	11
DNA:DNA:MER125	132
DNA:DNA:MER126	283
DNA:DNA:MER130	171
DNA:DNA:MER135	804
DNA:DNA:MER136	29
DNA:DNA:UCON4	3
DNA:DNA:UCON58	3
DNA:DNA:UCON59	2
DNA:DNA:UCON78	180
DNA:DNA:UCON8	194
DNA:DNA:UCON97	40
DNA:DNA:UCON99	53
DNA:DNA:X23_DNA	1
DNA:DNA:X24_DNA	1
DNA:DNA:X2a_DNA	2
DNA:DNA:X2b_DNA	1
DNA:DNA:X30_DNA	7
DNA:DNA:X34_DNA	3
DNA:DNA:X9a_DNA	9
DNA:Kolobok:UCON29	4
DNA:MULE-MuDR:Ricksha	189
DNA:MULE-MuDR:Ricksha_0	413
DNA:MULE-MuDR:Ricksha_a	62
DNA:MULE-MuDR:Ricksha_b	122
DNA:MULE-MuDR:Ricksha_c	1257
DNA:Merlin:MER125	1
DNA:Merlin:MER136	1
DNA:Merlin:Merlin1_HS	61
DNA:PIF-Harbinger:AmnHarb1	2
DNA:PIF-Harbinger:Chompy-6_Croc	15
DNA:PIF-Harbinger:Chompy-7_Croc	15
DNA:PiggyBac:Looper	571
DNA:PiggyBac:MER75	489
DNA:PiggyBac:MER75A	91
DNA:PiggyBac:MER75B	128
DNA:PiggyBac:MER85	944
DNA:TcMar-Mariner:HSMAR1	739
DNA:TcMar-Mariner:HSMAR2	1861
DNA:TcMar-Mariner:MADE1	8141
DNA:TcMar-Mariner:MADE2	2676
DNA:TcMar-Mariner:MARNA	3266
DNA:TcMar-Mariner:UCON40	2
DNA:TcMar-Pogo:MER132	35
DNA:TcMar-Tc1:DNA1_Mam	1
DNA:TcMar-Tc1:EutTc1-N2	1
DNA:TcMar-Tc1:X32_DNA	6
DNA:TcMar-Tc2:Kanga1	838
DNA:TcMar-Tc2:Kanga11a	902
DNA:TcMar-Tc2:Kanga1a	871
DNA:TcMar-Tc2:Kanga1b	388
DNA:TcMar-Tc2:Kanga1c	878
DNA:TcMar-Tc2:Kanga1d	688
DNA:TcMar-Tc2:Kanga2_a	1575
DNA:TcMar-Tc2:MER104	2222
DNA:TcMar-Tigger:MER127	204
DNA:TcMar-Tigger:MER2	9660
DNA:TcMar-Tigger:MER2B	2139
DNA:TcMar-Tigger:MER44A	2420
DNA:TcMar-Tigger:MER44B	2217
DNA:TcMar-Tigger:MER44C	892
DNA:TcMar-Tigger:MER44D	788
DNA:TcMar-Tigger:MER46C	2875
DNA:TcMar-Tigger:MER47A	2629
DNA:TcMar-Tigger:MER47B	622
DNA:TcMar-Tigger:MER47C	741
DNA:TcMar-Tigger:MER6	842
DNA:TcMar-Tigger:MER6A	1050
DNA:TcMar-Tigger:MER6B	703
DNA:TcMar-Tigger:MER6C	169
DNA:TcMar-Tigger:MER8	2022
DNA:TcMar-Tigger:MERX	440
DNA:TcMar-Tigger:MamRep1161	24
DNA:TcMar-Tigger:MamRep137	2187
DNA:TcMar-Tigger:MamRep434	2084
DNA:TcMar-Tigger:Tigger1	12737
DNA:TcMar-Tigger:Tigger10	1051
DNA:TcMar-Tigger:Tigger11a	411
