name	length	species	type	subtype	description	classification
4.5SRNA	94	Rodentia	scRNA	.	Transposable Element from rodents.	Interspersed_Repeat;Pseudogene;RNA;scRNA
5S	121	Vertebrata_Metazoa	rRNA	.	5S rRNA gene / pseudogene	Interspersed_Repeat;Pseudogene;RNA;rRNA
5S_DM	135	Drosophila_fruit_fly_genus	rRNA	.	Drosophila melanogaster 5S DNA sequence.	Interspersed_Repeat;Pseudogene;RNA;rRNA
7SK	331	Eutheria	snRNA	.	7SK ncRNA gene / pseudogene	Interspersed_Repeat;Pseudogene;RNA;snRNA
7SLRNA	320	Eutheria	SINE	Alu	7SL ncRNA gene / pseudogene	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
ACCORD2_I	7212	Drosophila_fruit_fly_genus	LTR	Gypsy	ACCORD2_I is an internal portion of ACCORD2 endogenous retrovirus.	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
ACCORD2_LTR	215	Drosophila_fruit_fly_genus	LTR	Gypsy	LTR from the ACCORD2 endogenous retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
ACCORD_I	6288	Drosophila_fruit_fly_genus	LTR	Gypsy	ACCORD_I is an internal portion of ACCORD retrovirus-like element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
ACCORD_LTR	558	Drosophila_fruit_fly_genus	LTR	Gypsy	ACCORD_LTR is a long terminal repeat from the ACCORD retrovirus	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;Retrotransposon;Long_Terminal_Repeat_Element;Gypsy-ERV;Gypsy
ACRO1	147	Primates	Satellite	acromeric	Human acromeric satellite 1	Tandem_Repeat;Satellite;Acromeric
ACROBAT1	1379	Danio	DNA	PIF	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;PIF-like_Elements
ACROBAT2	781	Danio_rerio	DNA	PIF	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;PIF-like_Elements
AFROSINE-1_ChrAsi	184	Chrysochloris_asiatica	SINE	tRNA-RTE	tRNA-RTE SINE element	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;No_or_Unknown_Core;RTE-end
ALA_DM	52	Drosophila_fruit_fly_genus	Unknown	.	Drosophila melanogaster ALA-D DNA repeat region.	Interspersed_Repeat;Unknown
ALR	171	Primates	Satellite	centromeric	Human alpha satellite DNA	Tandem_Repeat;Satellite;Centromeric
ALRa	172	Primates	Satellite	centromeric	Human alpha satellite DNA variant a	Tandem_Repeat;Satellite;Centromeric
ALRb	169	Primates	Satellite	centromeric	Human alpha satellite DNA variant b	Tandem_Repeat;Satellite;Centromeric
ANGEL	309	Danio	DNA	Kolobok	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Kolobok_Group;Kolobok
ARS406_DM	353	Drosophila_fruit_fly_genus	Unknown	.	D. melanogaster autonomous replication sequence (ars) 406.	Interspersed_Repeat;Unknown
ASAT_CY	262	Cyprinidae	Satellite	.	Satellite sequence from Cyprinids	Tandem_Repeat;Satellite
Academ-1_Testu	5866	Testudines	DNA	Academ-1	Academ-1 DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Academ_Group;Academ-1
Academ-2_Testu	6247	Testudines	DNA	Academ-1	Academ-1 DNA Transposon	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Academ_Group;Academ-1
Academ-N1_DRe	4028	Danio_rerio	DNA	Academ-1	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Academ_Group;Academ-1
AluJb	312	Primates	SINE	Alu	AluJb subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluJo	312	Primates	SINE	Alu	AluJo subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluJr	312	Primates	SINE	Alu	AluJr subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluJr4	312	Primates	SINE	Alu	AluJr4 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSc	309	Primates	SINE	Alu	AluSc subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSc5	309	Primates	SINE	Alu	AluSc5 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSc8	311	Primates	SINE	Alu	AluSc8 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSg	310	Primates	SINE	Alu	AluSg subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSg4	310	Primates	SINE	Alu	AluSg4 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSg7	309	Primates	SINE	Alu	AluSg7 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSp	313	Primates	SINE	Alu	AluSp subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSq	313	Primates	SINE	Alu	AluSq subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSq10	313	Primates	SINE	Alu	AluSq10 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSq2	313	Primates	SINE	Alu	AluSq2 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSq4	311	Primates	SINE	Alu	AluSq4 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSx	312	Primates	SINE	Alu	AluSx subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSx1	312	Primates	SINE	Alu	AluSx1 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSx3	311	Primates	SINE	Alu	AluSx3 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSx4	310	Primates	SINE	Alu	AluSx4 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSz	312	Primates	SINE	Alu	AluSz subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluSz6	312	Primates	SINE	Alu	AluSz6 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluY	311	Primates	SINE	Alu	AluY subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYa5	311	Hominidae	SINE	Alu	AluYa5 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYa8	310	Hominidae	SINE	Alu	AluYa8 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYb8	318	Hominidae	SINE	Alu	AluYb8 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYb9	318	Hominidae	SINE	Alu	AluYb9 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYc	299	Primates	SINE	Alu	AluYc subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYc3	300	Primates	SINE	Alu	AluYc3 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYd8	299	Hominidae	SINE	Alu	AluYd8 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYe5	310	Primates	SINE	Alu	AluYe5 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYe6	310	Primates	SINE	Alu	AluYe6 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYf1	311	Hominoidea	SINE	Alu	AluYf1 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYg6	311	Hominidae	SINE	Alu	AluYg6 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYh3	311	Hominidae	SINE	Alu	AluYh3 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYh7	311	Homo_sapiens	SINE	Alu	AluYh7 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYh9	311	Hominidae	SINE	Alu	AluYh9 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYi6	311	Hominidae	SINE	Alu	AluYi6 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYi6_4d	311	Homo_sapiens	SINE	Alu	AluYi6_4d subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYj4	311	Homo_sapiens	SINE	Alu	AluYj4 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYk11	311	Hominidae	SINE	Alu	AluYk11 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYk12	311	Hominidae	SINE	Alu	AluYk12 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYk2	311	Hominoidea	SINE	Alu	AluYk2 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYk3	311	Hominoidea	SINE	Alu	AluYk3 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYk4	311	Hominidae	SINE	Alu	AluYk4 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AluYm1	311	Hominoidea	SINE	Alu	AluYm1 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;7SL-RNA_Promoter;No-core;L1-dependent;Alu
AmnHarb1	1444	Amniota	DNA	PIF-Harbinger	AmnHarb1 subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;PIF-like_Elements;Harbinger
AmnL2-1	2613	Amniota	LINE	L2	AmnL2-1 subfamily	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE;Group-II;Group-2;R1-like;CR1-group;L2-group;L2
AmnSINE1	575	Amniota	SINE	5S-Deu-L2	Amniota SINE1	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;5S-RNA_Promoter;Deu-core;L2-end
AmnSINE2	358	Amniota	SINE	tRNA-Deu	Aminiota SINE2	Interspersed_Repeat;Transposable_Element;Retrotransposed_Element;LINE-dependent_Retroposon;SINE;tRNA_Promoter;Deu-core;Unknown_LINE-dependent
Arthur1	3947	Eutheria	DNA	hAT-Tip100	hAT-Tip100 DNA transposon, Arthur1 subfamily	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
